Rozmiar wektora, Czas mnożenia wektorów, Czas mnożenia wektora przez macierz
500.000000,0.000013,0.003197
500.000000,0.000012,0.003375
500.000000,0.000012,0.003079
500.000000,0.000011,0.003076
500.000000,0.000012,0.003044
500.000000,0.000012,0.003056
500.000000,0.000012,0.003060
500.000000,0.000012,0.003073
500.000000,0.000012,0.003066
520.000000,0.000069,0.003284
520.000000,0.000016,0.002917
520.000000,0.000012,0.002833
520.000000,0.000012,0.002864
520.000000,0.000011,0.002867
520.000000,0.000012,0.002863
520.000000,0.000011,0.002878
520.000000,0.000011,0.002865
520.000000,0.000011,0.002871
520.000000,0.000012,0.002879
540.000000,0.000078,0.003057
540.000000,0.000012,0.002978
540.000000,0.000012,0.002974
540.000000,0.000013,0.002980
540.000000,0.000012,0.002976
540.000000,0.000012,0.002998
540.000000,0.000012,0.002976
540.000000,0.000012,0.002981
540.000000,0.000011,0.002976
540.000000,0.000012,0.002997
560.000000,0.000072,0.003290
560.000000,0.000013,0.003118
560.000000,0.000012,0.003090
560.000000,0.000012,0.003091
560.000000,0.000011,0.003087
560.000000,0.000012,0.003077
560.000000,0.000011,0.003133
560.000000,0.000012,0.003143
560.000000,0.000011,0.003104
560.000000,0.000012,0.003329
580.000000,0.000072,0.003286
580.000000,0.000012,0.003190
580.000000,0.000012,0.003215
580.000000,0.000012,0.003232
580.000000,0.000011,0.003215
580.000000,0.000013,0.003333
580.000000,0.000011,0.003231
580.000000,0.000011,0.003232
580.000000,0.000012,0.003219
580.000000,0.000012,0.003201
600.000000,0.000074,0.003653
600.000000,0.000013,0.003334
600.000000,0.000012,0.003320
600.000000,0.000012,0.003414
600.000000,0.000012,0.003328
600.000000,0.000012,0.003311
600.000000,0.000012,0.003342
600.000000,0.000013,0.003329
600.000000,0.000011,0.003313
600.000000,0.000013,0.003326
620.000000,0.000073,0.003507
620.000000,0.000013,0.003442
620.000000,0.000012,0.003428
620.000000,0.000012,0.003445
620.000000,0.000012,0.003431
620.000000,0.000012,0.003464
620.000000,0.000012,0.003447
620.000000,0.000012,0.003561
620.000000,0.000012,0.003534
620.000000,0.000013,0.003442
640.000000,0.000071,0.003690
640.000000,0.000014,0.003583
640.000000,0.000013,0.003736
640.000000,0.000013,0.003583
640.000000,0.000011,0.003529
640.000000,0.000012,0.003613
640.000000,0.000012,0.003537
640.000000,0.000012,0.003516
640.000000,0.000012,0.003535
640.000000,0.000012,0.003537
660.000000,0.000072,0.003739
660.000000,0.000013,0.003662
660.000000,0.000012,0.003660
660.000000,0.000013,0.003655
660.000000,0.000012,0.003672
660.000000,0.000012,0.003661
660.000000,0.000012,0.003665
660.000000,0.000013,0.003685
660.000000,0.000012,0.003764
660.000000,0.000012,0.003660
680.000000,0.000072,0.003852
680.000000,0.000013,0.003803
680.000000,0.000013,0.003828
680.000000,0.000013,0.003795
680.000000,0.000013,0.004146
680.000000,0.000013,0.003814
680.000000,0.000012,0.003770
680.000000,0.000013,0.003787
680.000000,0.000012,0.003788
680.000000,0.000013,0.003789
700.000000,0.000071,0.003962
700.000000,0.000013,0.003871
700.000000,0.000013,0.003882
700.000000,0.000013,0.003893
700.000000,0.000012,0.003891
700.000000,0.000013,0.003869
700.000000,0.000012,0.003899
700.000000,0.000013,0.003976
700.000000,0.000012,0.003963
700.000000,0.000014,0.004033
720.000000,0.000071,0.004078
720.000000,0.000014,0.004035
720.000000,0.000013,0.004100
720.000000,0.000014,0.004500
720.000000,0.000014,0.004030
720.000000,0.000013,0.003987
720.000000,0.000012,0.003979
720.000000,0.000013,0.003973
720.000000,0.000012,0.004009
720.000000,0.000013,0.004015
740.000000,0.000072,0.004215
740.000000,0.000014,0.004139
740.000000,0.000013,0.004252
740.000000,0.000014,0.004166
740.000000,0.000015,0.004457
740.000000,0.000014,0.004141
740.000000,0.000013,0.004131
740.000000,0.000013,0.004154
740.000000,0.000012,0.004170
740.000000,0.000013,0.004688
760.000000,0.000070,0.004382
760.000000,0.000014,0.004231
760.000000,0.000015,0.004537
