Rozmiar wektora, Czas mnożenia wektorów, Czas mnożenia wektora przez macierz
21.000000,0.000014,0.000087
21.000000,0.000008,0.000087
21.000000,0.000008,0.000087
21.000000,0.000008,0.000087
21.000000,0.000008,0.000095
21.000000,0.000008,0.000087
21.000000,0.000008,0.000088
21.000000,0.000008,0.000089
21.000000,0.000009,0.000087
21.000000,0.000008,0.000087
22.000000,0.000014,0.000091
22.000000,0.000008,0.000091
22.000000,0.000008,0.000091
22.000000,0.000008,0.000091
22.000000,0.000009,0.000091
22.000000,0.000008,0.000090
22.000000,0.000008,0.000090
22.000000,0.000008,0.000099
22.000000,0.000008,0.000090
22.000000,0.000008,0.000091
23.000000,0.000014,0.000106
23.000000,0.000008,0.000092
23.000000,0.000008,0.000092
23.000000,0.000008,0.000093
23.000000,0.000008,0.000092
23.000000,0.000008,0.000092
23.000000,0.000008,0.000093
23.000000,0.000008,0.000092
23.000000,0.000008,0.000092
23.000000,0.000008,0.000119
24.000000,0.000014,0.000097
24.000000,0.000008,0.000105
24.000000,0.000008,0.000096
24.000000,0.000008,0.000096
24.000000,0.000011,0.000096
24.000000,0.000008,0.000096
24.000000,0.000008,0.000096
24.000000,0.000008,0.000096
24.000000,0.000008,0.000096
24.000000,0.000008,0.000096
25.000000,0.000015,0.000099
25.000000,0.000008,0.000107
25.000000,0.000008,0.000098
25.000000,0.000008,0.000098
25.000000,0.000008,0.000099
25.000000,0.000008,0.000098
25.000000,0.000008,0.000099
25.000000,0.000008,0.000098
25.000000,0.000008,0.000098
25.000000,0.000008,0.000099
26.000000,0.000014,0.000103
26.000000,0.000008,0.000113
26.000000,0.000008,0.000103
26.000000,0.000008,0.000103
26.000000,0.000008,0.000103
26.000000,0.000008,0.000103
26.000000,0.000008,0.000103
26.000000,0.000008,0.000103
26.000000,0.000008,0.000103
26.000000,0.000008,0.000138
27.000000,0.000015,0.000105
27.000000,0.000009,0.000104
27.000000,0.000008,0.000104
27.000000,0.000008,0.000104
27.000000,0.000008,0.000104
27.000000,0.000008,0.000104
27.000000,0.000008,0.000104
27.000000,0.000008,0.000128
27.000000,0.000008,0.000106
27.000000,0.000010,0.000107
28.000000,0.000015,0.000110
28.000000,0.000008,0.000109
28.000000,0.000009,0.000109
28.000000,0.000008,0.000108
28.000000,0.000008,0.000108
28.000000,0.000008,0.000117
28.000000,0.000008,0.000108
28.000000,0.000008,0.000108
28.000000,0.000008,0.000109
28.000000,0.000008,0.000108
29.000000,0.000014,0.000109
29.000000,0.000008,0.000109
29.000000,0.000008,0.000109
29.000000,0.000008,0.000118
29.000000,0.000008,0.000109
29.000000,0.000008,0.000110
29.000000,0.000008,0.000109
29.000000,0.000008,0.000109
29.000000,0.000008,0.000109
29.000000,0.000008,0.000109
30.000000,0.000015,0.000115
30.000000,0.000008,0.000115
30.000000,0.000008,0.000115
30.000000,0.000008,0.000115
30.000000,0.000008,0.000115
30.000000,0.000008,0.000139
30.000000,0.000009,0.000116
30.000000,0.000008,0.000115
30.000000,0.000008,0.000115
30.000000,0.000008,0.000114
